Line,Replicate_ID,Weight,Pupation,Growth_Rate
IL-1,1,21.1,27,0.7815
IL-1,2,17.9,28,0.6393
IL-1,3,22,28,0.7857
IL-1,4,13.7,28,0.4893
IL-1,5,19.5,34,0.5735
IL-1,6,16,34,0.4706
IL-1,7,13.3,34,0.3912
IL-1,8,16.2,26,0.6231
IL-1,9,20.1,26,0.7731
IL-1,10,13.8,23,0.6
IL-1,11,17.3,23,0.752173913
IL-1,12,17.7,23,0.769565217
IL-1,13,17,23,0.739130435
IL-1,14,17.7,23,0.769565217
IL-1,15,17.8,23,0.773913044
IL-1,16,18.2,23,0.791304348
IL-1,17,17,23,0.739130435
IL-1,18,18.6,23,0.808695652
IL-1,19,19.4,23,0.843478261
IL-1,20,18.5,23,0.804347826
IL-1,21,15.8,23,0.686956522
IL-1,22,17.7,23,0.769565217
IL-1,23,23.8,23,1.034782609
IL-1,24,19.6,23,0.852173913
IL-1,25,18,23,0.782608696
IL-1,26,13.2,23,0.573913044
IL-1,27,14.5,23,0.630434783
IL-1,28,14.3,23,0.62173913
IL-1,29,10.9,23,0.473913044
IL-1,30,14.5,23,0.630434783
IL-1,31,13.1,23,0.569565217
IL-1,32,13.9,23,0.604347826
IL-1,33,12.9,23,0.560869565
IL-1,34,13.2,23,0.573913044
IL-1,35,12,28,0.428571429
IL-1,36,19,28,0.678571429
IL-1,37,9.2,28,0.328571429
IL-1,38,14.5,33,0.439393939
IL-1,39,8,34,0.235294118
IL-1,40,17.9,37,0.483783784
IL-2,1,12.7,23,0.5522
IL-2,2,23.3,25,0.932
IL-2,3,23.3,26,0.8962
IL-2,4,20.6,26,0.7923
IL-2,5,22.4,27,0.8296
IL-2,6,19.4,27,0.7185
IL-2,7,17,27,0.6296
IL-2,8,21.6,27,0.8
IL-2,9,23.5,27,0.8704
IL-2,10,20.2,27,0.7481
IL-2,11,19.3,28,0.6893
IL-2,12,19.9,28,0.7107
IL-2,13,20.6,28,0.7357
IL-2,14,17.8,28,0.6357
IL-2,15,18.8,28,0.6714
IL-2,16,10.4,28,0.3714
IL-2,17,15.1,28,0.5393
IL-2,18,21,30,0.7
IL-2,19,16.4,32,0.5125
IL-2,20,17.3,32,0.5406
IL-2,21,20.2,32,0.6313
IL-2,22,14.7,32,0.4594
IL-2,23,15.4,32,0.4813
IL-2,24,14.8,32,0.4625
IL-2,25,20.6,32,0.6438
IL-2,26,13.3,32,0.4156
IL-2,27,16.6,32,0.5188
IL-2,28,16.5,32,0.5156
IL-2,29,22.1,32,0.6906
IL-2,30,19,32,0.5938
IL-2,31,18.3,34,0.5382
IL-2,32,10.4,25,0.416
IL-2,33,13.6,27,0.5037
IL-2,34,16.8,27,0.6222
IL-2,35,18.4,27,0.6815
IL-2,36,17.6,27,0.6519
IL-2,37,17.4,27,0.6444
IL-2,38,15.3,28,0.5464
IL-2,39,13.2,28,0.4714
IL-2,40,15.4,28,0.55
IL-2,41,14.8,30,0.4933
IL-2,42,12.8,32,0.4
IL-2,43,13.6,32,0.425
IL-2,44,16.6,32,0.5188
IL-2,45,15,32,0.4688
IL-2,46,18.4,32,0.575
IL-2,47,15.8,32,0.4938
IL-2,48,9.5,32,0.2969
IL-2,49,14.8,32,0.4625
IL-2,50,12.2,32,0.3813
IL-2,51,17.8,32,0.5563
IL-2,52,12.4,32,0.3875
IL-2,53,9.9,32,0.3094
IL-2,54,15.8,32,0.4938
IL-2,55,16.8,32,0.525
IL-2,56,16.8,32,0.525
IL-2,57,17,26,0.6538
IL-2,58,12.6,29,0.4345
IL-2,59,19.2,29,0.6621
IL-2,60,16.4,30,0.5467
IL-2,61,17.4,32,0.5438
IL-2,62,11.6,34,0.3412
IL-4,1,16.1,29,0.5552
IL-4,2,17.2,29,0.5931
IL-4,3,16.6,29,0.5724
IL-4,4,21.2,29,0.731
IL-4,5,21.5,29,0.7414
IL-4,6,22.2,29,0.7655
IL-4,7,23.5,29,0.8103
IL-4,8,20.1,29,0.6931
IL-4,9,22.1,29,0.7621
IL-4,10,20.4,29,0.7034
IL-4,11,23.9,29,0.8241
IL-4,12,21.1,29,0.7276
IL-4,13,16.6,31,0.5355
IL-4,14,27.5,31,0.8871
IL-4,15,15.9,33,0.4818
IL-4,16,16.6,33,0.503
IL-4,17,15.1,33,0.4576
IL-4,18,16.6,33,0.503
IL-4,19,13.9,33,0.4212
IL-4,20,22.6,33,0.6848
IL-4,21,21,33,0.6364
IL-4,22,18.8,33,0.5697
IL-4,23,18.5,33,0.5606
IL-4,24,19.9,33,0.603
IL-4,25,18.5,33,0.5606
IL-4,26,18,33,0.5455
IL-4,27,20.6,34,0.6059
IL-4,28,23.4,21,1.1143
IL-4,29,21,22,0.9545
IL-4,30,18.9,22,0.8591
IL-4,31,17.1,22,0.7773
IL-4,32,16.4,22,0.7455
IL-4,33,18.9,22,0.8591
IL-4,34,17.3,23,0.7522
IL-4,35,16.6,23,0.7217
IL-4,36,17.5,23,0.7609
IL-4,37,15.1,23,0.6565
IL-4,38,18.8,23,0.8174
IL-4,39,19.4,24,0.8083
IL-4,40,18.8,24,0.7833
IL-4,41,14.7,24,0.6125
IL-4,42,16.7,24,0.6958
IL-4,43,14.4,24,0.6
IL-4,44,18.4,26,0.7077
IL-4,45,15.7,26,0.6038
IL-4,46,16.2,27,0.6
IL-4,47,19.3,28,0.6893
IL-4,48,18.6,29,0.6414
IL-4,49,19,33,0.5758
IL-4,50,16,37,0.4324
IL-4,51,15.1,21,0.719
IL-4,52,15.7,22,0.7136
IL-4,53,13.2,23,0.5739
IL-4,54,12.1,23,0.5261
IL-4,55,14,23,0.6087
IL-4,56,12.9,23,0.5609
IL-4,57,13.3,23,0.5783
IL-4,58,11.2,26,0.4308
IL-4,59,14.1,26,0.5423
IL-4,60,21.7,29,0.7483
IL-4,61,17.4,33,0.5273
IL-4,62,15.2,36,0.4222
IL-7,1,18.1,22,0.8227
IL-7,2,16.8,22,0.7636
IL-7,3,16.7,22,0.7591
IL-7,4,17.5,22,0.7955
IL-7,5,17,22,0.7727
IL-7,6,18.4,22,0.8364
IL-7,7,16.7,22,0.7591
IL-7,8,16.7,22,0.7591
IL-7,9,17.7,22,0.8045
IL-7,10,16.3,23,0.7087
IL-7,11,14.1,23,0.613
IL-7,12,14.1,23,0.613
IL-7,13,14.9,23,0.6478
IL-7,14,14,23,0.6087
IL-7,15,15.8,23,0.687
IL-7,16,17.6,23,0.7652
IL-7,17,16,23,0.6957
IL-7,18,17.9,23,0.7783
IL-7,19,17.5,23,0.7609
IL-7,20,18.1,23,0.787
IL-7,21,16.7,23,0.7261
IL-7,22,14.7,23,0.6391
IL-7,23,19.7,23,0.8565
IL-7,24,15.2,24,0.6333
IL-7,25,15.2,24,0.6333
IL-7,26,16.3,24,0.6792
IL-7,27,15.3,24,0.6375
IL-7,28,17.7,25,0.708
IL-7,29,14.4,27,0.5333
IL-7,30,15.3,27,0.5667
IL-7,31,15.7,27,0.5815
IL-7,32,14.6,27,0.5407
IL-7,33,16.8,27,0.6222
IL-7,34,14.3,22,0.65
IL-7,35,14.2,22,0.6455
IL-7,36,13.9,22,0.6318
IL-7,37,14.5,22,0.6591
IL-7,38,13.1,22,0.5955
IL-7,39,13.7,22,0.6227
IL-7,40,14.7,22,0.6682
IL-7,41,14.2,22,0.6455
IL-7,42,12.5,23,0.5435
IL-7,43,12.4,23,0.5391
IL-7,44,14,23,0.6087
IL-7,45,13,23,0.5652
IL-7,46,11.3,23,0.4913
IL-7,47,12.8,23,0.5565
IL-7,48,12.9,23,0.5609
IL-7,49,12.6,23,0.5478
IL-7,50,12.2,23,0.5304
IL-7,51,11.6,24,0.4833
IL-7,52,10.7,24,0.4458
IL-7,53,13.2,24,0.55
IL-7,54,13.9,24,0.5792
IL-7,55,12.3,24,0.5125
IL-7,56,10.1,24,0.4208
IL-7,57,12.4,24,0.5167
IL-7,58,11.9,25,0.476
IL-7,59,14.1,25,0.564
IL-7,60,12.8,25,0.512
IL-7,61,11.2,25,0.448
IL-7,62,10.7,25,0.428
IL-7,63,11.1,27,0.4111
IL-7,64,11.2,27,0.4148
IL-9,1,16,22,0.7273
IL-9,2,18,22,0.8182
IL-9,3,15.8,22,0.7182
IL-9,4,14.9,22,0.6773
IL-9,5,15.2,22,0.6909
IL-9,6,15,22,0.6818
IL-9,7,15.9,22,0.7227
IL-9,8,16,22,0.7273
IL-9,9,18.6,22,0.8455
IL-9,10,17.5,22,0.7955
IL-9,11,16.8,22,0.7636
IL-9,12,16.1,22,0.7318
IL-9,13,14.4,22,0.6545
IL-9,14,15.7,22,0.7136
IL-9,15,13.9,22,0.6318
IL-9,16,12.5,22,0.5682
IL-9,17,18,22,0.8182
IL-9,18,18.4,22,0.8364
IL-9,19,13.8,24,0.575
IL-9,20,12.5,24,0.5208
IL-9,21,14.3,24,0.5958
IL-9,22,14.2,24,0.5917
IL-9,23,19.8,24,0.825
IL-9,24,12.7,24,0.5292
IL-9,25,10.5,24,0.4375
IL-9,26,11.5,24,0.4792
IL-9,27,13,24,0.5417
IL-9,28,14.7,24,0.6125
IL-9,29,15,24,0.625
IL-9,30,14.9,24,0.6208
IL-9,31,16.4,24,0.6833
IL-9,32,11.2,24,0.4667
IL-9,33,10,24,0.4167
IL-9,34,12.6,25,0.504
IL-9,35,9.7,25,0.388
IL-9,36,16,26,0.6154
IL-9,37,12,22,0.5455
IL-9,38,12.4,22,0.5636
IL-9,39,10.9,22,0.4955
IL-9,40,11.4,22,0.5182
IL-9,41,12.8,22,0.5818
IL-9,42,13.5,22,0.6136
IL-9,43,11.2,22,0.5091
IL-9,44,11.4,22,0.5182
IL-9,45,11.7,22,0.5318
IL-9,46,11,24,0.4583
IL-9,47,11,24,0.4583
IL-9,48,12.3,24,0.5125
IL-9,49,10.5,24,0.4375
IL-9,50,14.5,24,0.6042
IL-9,51,11.9,24,0.4958
IL-9,52,10.5,24,0.4375
IL-9,53,10,24,0.4167
IL-9,54,12.4,24,0.5167
IL-9,55,11,24,0.4583
IL-9,56,10.9,24,0.4542
IL-9,57,9.7,24,0.4042
IL-9,58,10.2,24,0.425
IL-9,59,9.4,25,0.376
IL-9,60,10.7,25,0.428
IL-9,61,10.9,25,0.436
IL-9,62,10.2,25,0.408
IL-9,63,10.8,25,0.432
IL-9,64,9.9,26,0.3808
IL-9,65,11,26,0.4231
IL-9,66,11.4,27,0.4222
IL-9,67,10.8,27,0.4
IL-10,1,18,29,0.6207
IL-10,2,18.4,29,0.6345
IL-10,3,19.2,29,0.6621
IL-10,4,17,29,0.5862
IL-10,5,17,29,0.5862
IL-10,6,15.3,29,0.5276
IL-10,7,23.6,29,0.8138
IL-10,8,22.5,29,0.7759
IL-10,9,19.2,29,0.6621
IL-10,10,21.8,29,0.7517
IL-10,11,24.7,29,0.8517
IL-10,12,16.5,31,0.5323
IL-10,13,16.9,33,0.5121
IL-10,14,20.5,33,0.6212
IL-10,15,25.9,33,0.7848
IL-10,16,21.8,33,0.6606
IL-10,17,20.8,33,0.6303
IL-10,18,18.9,33,0.5727
IL-10,19,22.2,33,0.6727
IL-10,20,21.2,33,0.6424
IL-10,21,21,33,0.6364
IL-10,22,20.9,33,0.6333
IL-10,23,20.4,33,0.6182
IL-10,24,23.4,33,0.7091
IL-10,25,16.8,33,0.5091
IL-10,26,21.4,33,0.6485
IL-10,27,23,33,0.697
IL-10,28,18.1,22,0.8227
IL-10,29,16.6,22,0.7545
IL-10,30,16.8,22,0.7636
IL-10,31,15.2,23,0.6609
IL-10,32,15.8,23,0.687
IL-10,33,16.3,23,0.7087
IL-10,34,14.7,23,0.6391
IL-10,35,14.6,23,0.6348
IL-10,36,15.5,23,0.6739
